obs_date,ticker,rank,tier,score,momentum_pct,regime,ref_close,stop_loss,stop_pct,target_1r,target_2r,risk_per_share,sector,cost_viable,notes
2026-07-28,ATHERENERG,1,large,100,196.36,risk_off,1214.9,,,,,,Consumer Cyclical,True,model=momentum
2026-07-28,HFCL,2,large,96,168.06,risk_off,192.54,,,,,,Technology,True,model=momentum
2026-07-28,NETWEB,3,large,92,161.09,risk_off,4362.2,,,,,,Technology,True,model=momentum
2026-07-29,HFCL,1,large,99,168.97,risk_off,193.56,,,,,,Technology,True,model=momentum
2026-07-29,NETWEB,2,large,97,130.93,risk_off,4364.1,,,,,,Technology,True,model=momentum
2026-07-29,LAURUSLABS,3,large,96,81.73,risk_off,1781.3,,,,,,Healthcare,True,model=momentum
2026-07-30,SYRMA,1,large,99,98.11,risk_off,1437.7,1318.08,-8.32,1557.32,1676.94,119.62,Technology,True,model=momentum
2026-07-30,ADANIENSOL,2,large,98,86.18,risk_off,1663.3,1555.52,-6.48,1771.08,1878.86,107.78,Utilities,True,model=momentum
2026-07-30,LAURUSLABS,3,large,97,78.58,risk_off,1786.9,1697.2,-5.02,1876.6,1966.3,89.7,Healthcare,True,model=momentum
2026-08-01,NETWEB,1,large,99,142.98,risk_off,4524.0,4135.84,-8.58,4912.16,5300.32,388.16,Technology,True,model=momentum
2026-08-01,ADANIENSOL,2,large,98,90.81,risk_off,1645.4,1536.8,-6.6,1754.0,1862.6,108.6,Utilities,True,model=momentum
2026-08-01,SYRMA,3,large,98,87.7,risk_off,1366.8,1251.99,-8.4,1481.61,1596.42,114.81,Technology,True,model=momentum
2026-08-04,HFCL,1,large,100,168.24,risk_off,201.72,178.12,-11.7,225.32,248.92,23.6,Technology,True,model=momentum
2026-08-04,NETWEB,2,large,99,124.69,risk_off,4694.0,4301.58,-8.36,5086.42,5478.84,392.42,Technology,True,model=momentum
2026-08-04,NATIONALUM,3,large,97,91.53,risk_off,375.4,351.82,-6.28,398.98,422.56,23.58,Basic Materials,True,model=momentum
2026-08-05,HFCL,1,large,100,199.54,risk_off,210.97,190.08,-9.9,231.86,252.75,20.89,Technology,True,model=momentum
2026-08-05,NETWEB,2,large,98,108.51,risk_off,4871.1,4486.28,-7.9,5255.92,5640.74,384.82,Technology,True,model=momentum
2026-08-05,ADANIENSOL,3,large,97,104.23,risk_off,1634.2,1534.19,-6.12,1734.21,1834.22,100.01,Utilities,True,model=momentum
2026-08-06,HFCL,1,large,100,193.54,risk_off,209.85,189.62,-9.64,230.08,250.31,20.23,Technology,True,model=momentum
2026-08-06,ADANIENSOL,2,large,98,108.75,risk_off,1633.6,1537.22,-5.9,1729.98,1826.36,96.38,Utilities,True,model=momentum
2026-08-06,NATIONALUM,3,large,97,102.29,risk_off,378.9,357.53,-5.64,400.27,421.64,21.37,Basic Materials,True,model=momentum
2026-08-07,HFCL,1,large,100,193.54,risk_off,205.32,183.84,-10.46,226.8,248.28,21.48,Technology,True,model=momentum
2026-08-07,ADANIENSOL,2,large,98,102.43,risk_off,1638.2,1541.87,-5.88,1734.53,1830.86,96.33,Utilities,True,model=momentum
2026-08-07,NATIONALUM,3,large,97,102.29,risk_off,380.3,359.23,-5.54,401.37,422.44,21.07,Basic Materials,True,model=momentum
2026-08-11,HFCL,1,large,100,195.0,risk_off,211.22,191.15,-9.5,231.29,251.36,20.07,Technology,True,model=momentum
2026-08-11,NETWEB,2,large,99,107.6,risk_off,4838.8,4459.44,-7.84,5218.16,5597.52,379.36,Technology,True,model=momentum
2026-08-11,ADANIENSOL,3,large,99,107.89,risk_off,1652.6,1559.39,-5.64,1745.81,1839.02,93.21,Utilities,True,model=momentum
2026-08-12,HFCL,1,large,100,193.92,risk_off,216.81,196.21,-9.5,237.41,258.01,20.6,Technology,True,model=momentum
2026-08-12,IDEA,2,large,99,105.6,risk_off,13.49,12.72,-5.71,14.26,15.03,0.77,Communication Services,True,model=momentum
2026-08-12,HINDCOPPER,3,large,99,104.76,risk_off,568.6,531.64,-6.5,605.56,642.52,36.96,Basic Materials,True,model=momentum
