snapshot_date,ticker,tier,score,rank,regime,price_at_pick,horizon_days,target_eval_date,price_at_eval,fwd_return_pct,bench_return_pct,excess_return_pct,status,notes,holding_days_actual,eval_method
2026-07-27,ATHERENERG,large,100,1,risk_off,1203.7,15,2026-08-17,1505.8,25.1,,,evaluated,,21.0,at_target
2026-07-27,BHARATFORG,large,93,2,risk_off,2160.0,15,2026-08-17,2085.0,-3.47,,,evaluated,,21.0,at_target
2026-07-27,ADANIENSOL,large,90,3,risk_off,1683.7,15,2026-08-17,1619.1,-3.84,,,evaluated,,21.0,at_target
2026-08-03,HFCL,large,100,1,risk_off,199.33,30,2026-09-15,,,,,open,,,
2026-08-03,NETWEB,large,99,2,risk_off,4598.3,30,2026-09-15,,,,,open,,,
2026-08-03,ADANIENSOL,large,97,3,risk_off,1646.0,30,2026-09-15,,,,,open,,,
2026-08-10,HFCL,large,100,1,risk_off,212.0,30,2026-09-22,,,,,open,,,
2026-08-10,ADANIENSOL,large,99,2,risk_off,1619.4,30,2026-09-22,,,,,open,,,
2026-08-10,HINDCOPPER,large,98,3,risk_off,538.75,30,2026-09-22,,,,,open,,,
2026-08-17,HFCL,large,100,1,risk_off,224.22,30,2026-09-29,,,,,open,,,
2026-08-17,IDEA,large,99,2,risk_off,14.01,30,2026-09-29,,,,,open,,,
2026-08-17,ADANIENSOL,large,99,3,risk_off,1619.8,30,2026-09-29,,,,,open,,,
2026-08-24,HFCL,large,100,1,risk_off,235.06,30,2026-10-06,,,,,open,,,
2026-08-24,RRKABEL,large,99,2,risk_off,2952.9,30,2026-10-06,,,,,open,,,
2026-08-24,HINDCOPPER,large,98,3,risk_off,568.55,30,2026-10-06,,,,,open,,,
2026-08-31,HFCL,large,100,1,risk_off,248.4,30,2026-10-13,,,,,open,,,
2026-08-31,LAURUSLABS,large,99,2,risk_off,1862.8,30,2026-10-13,,,,,open,,,
2026-08-31,NETWEB,large,98,3,risk_off,5178.3,30,2026-10-13,,,,,open,,,
